"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 2690CE8710 / AVENGER MODS,,,,Modification Number / Title: CE8710 / AVENGER MODS
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,MDAP/MAIS Code:,,
Modification Item 2 of 5: Vehicle Internal Communication (VIC-5),,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Northrop Grumman,,,"Manufacturer Location: Tobyhanna, PA",,,
Administrative Leadtime (in Months): 1,,,Production Leadtime (in Months): 9,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,,,,,,
Delivery Dates,,,,,,
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): Fielded by Depot with Phase II kit,,,,,Installation Quantity: 453,
,,,,,,
