"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 2690CE8710 / AVENGER MODS,,,,Modification Number / Title: CE8710 / AVENGER MODS
"ID Code (A=Service Ready, B=Not Service Ready) : A",,,,MDAP/MAIS Code:,,
Modification Item 5 of 5: Obsolescence Mitigation Items,,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Varies,,,Manufacturer Location: Varies,,,
Administrative Leadtime (in Months): 6,,,Production Leadtime (in Months): 6,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Jul 2020,,Jul 2021,,,
Delivery Dates,Jul 2021,,Jul 2022,,,
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): Fielded by Depot,,,,,Installation Quantity: 169,
,,,,,,
