"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Modification Item 17 of 23: Combined Crypto Modification Phase I (CCMPI),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,150 / 48.970,,- / -,- / -,,- / -,,- / -,- / -
Kit Quantity (GFE),- / 1.072,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,150 / 50.042,,- / -,- / -,,- / -,,- / -,- / -
Non-Recurring,,,,,,,,,
Training,- / 0.396,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,- / 0.396,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Combined Crypto Modification Phase I (CCMPI),150 / 50.438,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 18 of 23: Radar Digital Processor - Configuration (RDP-C),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,80 / 240.766,,- / -,- / -,,- / -,,- / -,- / -
Fielding,- / 14.000,,- / -,- / -,,- / -,,- / -,- / -
Support Equipment,- / 36.942,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,80 / 291.708,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Radar Digital Processor - Configuration (RDP- C),80 / 291.708,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 19 of 23: Air Defense Artillery School Upgrades/ TADSS,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Radar Kit Quantity,4 / 96.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Recurring,4 / 96.000,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Air Defense Artillery School Upgrades/ TADSS,4 / 96.000,,- / -,- / -,,- / -,,- / -,- / -
Modification Item 20 of 23: Modern Manstation (MMS),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Fielding,- / 7.825,,- / -,- / -,,- / -,,- / -,- / -
Support Equipment,- / 56.567,,- / -,- / -,,- / -,,- / -,- / -
,,,,,,,,,
