"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,Modification Number / Title: C50700 / Patriot Mods
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 10 of 23: PATRIOT Multi-Echelon Training (PMET),,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Raytheon,,,"Manufacturer Location: Tewksbury, MA",,,
Administrative Leadtime (in Months): 4,,,Production Leadtime (in Months): 4,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Feb 2020,,Feb 2021,,,Feb 2022
Delivery Dates,May 2020,,May 2021,,,May 2022
,,,,,,
Installation Information,,,,,,
"Method of Implementation (Organic): PM Office, Contractor Team (Included in unit cost)",,,,,Installation Quantity: 0,
,,,,,,
