"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Modification Item 5 of 23: BCP/TCS/CSM,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Engineering Change Orders,- / 4.385,,- / 0.770,- / 0.770,,- / 0.770,,- / -,- / 0.770
Fielding Support,- / 6.919,,- / 0.980,- / 0.980,,- / 0.980,,- / -,- / 0.980
Obsolescence/Tech Refresh,- / 1.573,,- / 0.280,- / 0.280,,- / 0.280,,- / -,- / 0.280
Software/Systems Engineering,- / 31.640,,- / 0.980,- / 0.980,,- / 0.980,,- / -,- / 0.980
Integrated Logistics Support,- / 54.180,,- / 3.990,- / 3.990,,- / 3.990,,- / -,- / 3.990
Subtotal: Recurring,- / 98.697,,- / 7.000,- / 7.000,,- / 7.000,,- / -,- / 7.000
Non-Recurring,,,,,,,,,
BCP Kit Quantity,62 / 29.435,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,62 / 29.435,,- / -,- / -,,- / -,,- / -,- / -
Subtotal: BCP/TCS/CSM,62 / 128.132,,- / 7.000,- / 7.000,,- / 7.000,,- / -,- / 7.000
Modification Item 6 of 23: International Engineering Services Program (IESP),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
International Engineering Services Prog,- / -,,- / -,- / 59.000,,- / 59.000,,- / -,- / 59.000
Subtotal: Recurring,- / -,,- / -,- / 59.000,,- / 59.000,,- / -,- / 59.000
Subtotal: International Engineering Services Program (IESP),- / -,,- / -,- / 59.000,,- / 59.000,,- / -,- / 59.000
Modification Item 7 of 23: Logistics Recurring,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Logistics Support,- / -,,- / -,- / 27.091,,- / 27.561,,- / -,- / 27.561
Subtotal: Recurring,- / -,,- / -,- / 27.091,,- / 27.561,,- / -,- / 27.561
Subtotal: Logistics Recurring,- / -,,- / -,- / 27.091,,- / 27.561,,- / -,- / 27.561
Modification Item 8 of 23: Report Rocket Classification,,,,,,,,,
A Kits,,,,,,,,,
Non-Recurring,,,,,,,,,
Kits,- / -,,- / 4.011,- / 6.000,,- / 6.000,,- / -,- / 6.000
Subtotal: Non-Recurring,- / -,,- / 4.011,- / 6.000,,- / 6.000,,- / -,- / 6.000
Subtotal: Report Rocket Classification,- / -,,- / 4.011,- / 6.000,,- / 6.000,,- / -,- / 6.000
,,,,,,,,,
