"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,Modification Number / Title: C50700 / Patriot Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: Various,,Modification Type: Various,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Procurement,,,,,,,,,
Modification Item 1 of 23: RAM Mods,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,"6,819 / 707.607",,144 / 24.573,153 / 23.519,,118 / 18.118,,- / -,118 / 18.118
Training,- / 106.008,,- / 16.650,- / 16.656,,- / 15.852,,- / -,- / 15.852
Training Equipment,- / 32.578,,- / 3.331,- / 3.332,,- / 3.092,,- / -,- / 3.092
Support Equipment,- / 62.404,,- / 8.657,- / 8.661,,- / 8.911,,- / -,- / 8.911
Fielding Support and NET,- / 109.980,,- / 14.652,- / 14.658,,- / 14.385,,- / -,- / 14.385
Integrated Logistics Support,- / 13.288,,- / 1.332,- / 1.332,,- / 2.072,,- / -,- / 2.072
Subtotal: Recurring,"6,819 / 1,031.865",,144 / 69.195,153 / 68.158,,118 / 62.430,,- / -,118 / 62.430
Subtotal: RAM Mods,"6,819 / 1,031.865",,144 / 69.195,153 / 68.158,,118 / 62.430,,- / -,118 / 62.430
Modification Item 2 of 23: Recapitalization,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kit Quantity,16 / 259.500,,1 / 14.101,1 / 14.104,,1 / 14.300,,- / -,1 / 14.300
Integrated Logistics Support,- / 20.058,,- / 1.100,- / 1.100,,- / 1.200,,- / -,- / 1.200
Subtotal: Recurring,16 / 279.558,,1 / 15.201,1 / 15.204,,1 / 15.500,,- / -,1 / 15.500
Subtotal: Recapitalization,16 / 279.558,,1 / 15.201,1 / 15.204,,1 / 15.500,,- / -,1 / 15.500
Modification Item 3 of 23: Communications Obsolescence,,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Kits,- / -,,1 / 20.906,1 / 30.684,,2 / 20.678,,- / -,2 / 20.678
Subtotal: Recurring,- / -,,1 / 20.906,1 / 30.684,,2 / 20.678,,- / -,2 / 20.678
Subtotal: Communications Obsolescence,- / -,,1 / 20.906,1 / 30.684,,2 / 20.678,,- / -,2 / 20.678
Modification Item 4 of 23: Dismounted Information Coordination Central,,,,,,,,,
B Kits,,,,,,,,,
Non-Recurring,,,,,,,,,
Dismounted Information Coordination Cent,2 / 20.000,,1 / 10.346,- / -,,- / -,,- / -,- / -
Subtotal: Non-Recurring,2 / 20.000,,1 / 10.346,- / -,,- / -,,- / -,- / -
Subtotal: Dismounted Information Coordination Central,2 / 20.000,,1 / 10.346,- / -,,- / -,,- / -,- / -
,,,,,,,,,
