"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,,,,,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,,,,,,Modification Number / Title: C50700 / Patriot Mods,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,
Modification Item 2 of 23: Recapitalization,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Information,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Name: Various,,,,,,,,,,,,Manufacturer Location: Various,,,,,,,,,,,
Administrative Leadtime (in Months): 6,,,,,,,,,,,,Production Leadtime (in Months): 12,,,,,,,,,,,
Dates,,,,,FY 2020,,,,,,,FY 2021,,,,,,,FY 2022,,,,
Contract Dates,,,,,Apr 2020,,,,,,,Apr 2021,,,,,,,Apr 2022,,,,
Delivery Dates,,,,,Apr 2021,,,,,,,Apr 2022,,,,,,,Apr 2023,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Installation Information,,,,,,,,,,,,,,,,,,,,,,,
"Method of Implementation: Depot, PM Office, contractor team (Included in unit cost)",,,,,,,,,,,,,,,,,,,,,,,
Installation Cost,,,Prior Years,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,FY 2022 OCO,,,,FY 2022 Total,
,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),
Prior Years,,,15 / 227.830,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2020,,,1 / 1.200,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2021,,,- / -,,,,1 / 1.200,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2022,,,- / -,,,,- / -,,,,1 / 1.200,,,,- / -,,,- / -,,,,- / -,
Total,,,16 / 229.030,,,,1 / 1.200,,,,1 / 1.200,,,,1 / 1.300,,,- / -,,,,1 / 1.300,
Installation Schedule,,,,,,,,,,,,,,,,,,,,,,,
,PYS,FY 2020,,,,,,,,FY 2021,,,,,,,FY 2022,,,,,,
,,Q1,,Q2,,Q3,,Q4,,Q1,,Q2,,Q3,,Q4,Q1,,,Q2,Q3,,Q4
In,16,-,,-,,1,,-,,-,,-,,1,,-,-,,,-,1,,-
Out,15,-,,1,,-,,-,,-,,1,,-,,-,-,,,1,-,,-
,,,,,,,,,,,,,,,,,,,,,,,
