"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,,,,,,,,,,,,Date: May 2021,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,,,,,,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,,,,,,,Modification Number / Title: C50700 / Patriot Mods,,,,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,,,,,,,,,MDAP/MAIS Code:,,,,,,,,,,
Modification Item 17 of 23: Combined Crypto Modification Phase I (CCMPI),,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Information,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Name: OGA,,,,,,,,,,,,Manufacturer Location: N/A,,,,,,,,,,,
Administrative Leadtime (in Months): 3,,,,,,,,,,,,Production Leadtime (in Months): 12,,,,,,,,,,,
Dates,,,,,FY 2020,,,,,,,FY 2021,,,,,,,FY 2022,,,,
Contract Dates,,,,,,,,,,,,,,,,,,,,,,,
Delivery Dates,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Installation Information,,,,,,,,,,,,,,,,,,,,,,,
Method of Implementation: LEAD Logistics Fielding Team (Included in unit cost),,,,,,,,,,,,,,,,,,,,,,,
Installation Cost,,,Prior Years,,,,FY 2020,,,,FY 2021,,,,FY 2022 Base,,,FY 2022 OCO,,,,FY 2022 Total,
,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),,,Qty (Each) / Total Cost ($ M),,,,Qty (Each) / Total Cost ($ M),
Prior Years,,,150 / 2.032,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2020,,,0 / 0.000,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2021,,,0 / 0.000,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
FY 2022,,,0 / 0.000,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
Total,,,150 / 2.032,,,,- / -,,,,- / -,,,,- / -,,,- / -,,,,- / -,
Installation Schedule,,,,,,,,,,,,,,,,,,,,,,,
,PYS,FY 2020,,,,,,,,FY 2021,,,,,,,FY 2022,,,,,,
,,Q1,,Q2,,Q3,,Q4,,Q1,,Q2,,Q3,,Q4,Q1,,,Q2,Q3,,Q4
In,150,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,-,,-
Out,150,-,,-,,-,,-,,-,,-,,-,,-,-,,,-,-,,-
,,,,,,,,,,,,,,,,,,,,,,,
