"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 0962C50700 / Patriot Mods,,,,Modification Number / Title: C50700 / Patriot Mods
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 9 of 23: PATRIOT Maintenance Trainer (PMT),,,,,,
Manufacturer Information,,,,,,
Manufacturer Name: Raytheon,,,"Manufacturer Location: Tewksbury, MA",,,
Administrative Leadtime (in Months): 4,,,Production Leadtime (in Months): 4,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Feb 2020,,,,,
Delivery Dates,Jun 2020,,,,,
,,,,,,
Installation Information,,,,,,
"Method of Implementation (Organic): PM Office, Contractor Team",,,,,Installation Quantity: 0,
,,,,,,
