"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,Date: May 2021
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,P-1 Line Item Number / Title: 6552C67500 / MLRS Mods,,,,Modification Number / Title: C67500 / MLRS Mods
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,MDAP/MAIS Code:,,
Modification Item 3 of 3: Improved Armored Cab (IAC),,,,,,
Manufacturer Information,,,,,,
"Manufacturer Name: Loc Performance Products, LLC",,,"Manufacturer Location: Plymouth, MI",,,
Administrative Leadtime (in Months): 3,,,Production Leadtime (in Months): 21,,,
Dates,FY 2020,,FY 2021,,,FY 2022
Contract Dates,Jun 2020,,May 2021,,,May 2022
Delivery Dates,May 2022,,May 2023,,,May 2024
,,,,,,
Installation Information,,,,,,
Method of Implementation (Organic): Depot,,,,,Installation Quantity: 0,
,,,,,,
