"Exhibit P-3a, Individual Modification: PB 2022 Army",,,,,,,,Date: May 2021,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 03 / 10,,,P-1 Line Item Number / Title: 6552C67500 / MLRS Mods,,,,,Modification Number / Title: C67500 / MLRS Mods,
"ID Code (A=Service Ready, B=Not Service Ready) :",,,,,MDAP/MAIS Code:,,,,
Models of Systems Affected: M270A1,,Modification Type: .,,,,,Related RDT&E PEs:,,
Financial Plan,Prior Years,,FY 2020,FY 2021,,FY 2022 Base,,FY 2022 OCO,FY 2022 Total
,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),,Qty (Each) / Total Cost ($ M),Qty (Each) / Total Cost ($ M)
Subtotal: Non-Recurring,- / -,,- / -,- / -,,- / 1.260,,- / -,- / 1.260
Subtotal: MLRS Fleet Upgrade,- / -,,- / -,- / -,,4 / 40.455,,- / -,4 / 40.455
Modification Item 3 of 3: Improved Armored Cab (IAC),,,,,,,,,
A Kits,,,,,,,,,
Recurring,,,,,,,,,
Production,102 / 99.420,,51 / 44.357,26 / 22.170,,30 / 26.567,,- / -,30 / 26.567
IAC Spares,- / -,,- / -,- / -,,5 / 4.351,,- / -,5 / 4.351
Subtotal: Recurring,102 / 99.420,,51 / 44.357,26 / 22.170,,35 / 30.918,,- / -,35 / 30.918
Subtotal: Improved Armored Cab (IAC),102 / 99.420,,51 / 44.357,26 / 22.170,,35 / 30.918,,- / -,35 / 30.918
"Subtotal: Procurement, All Modification Items","155 / 1,062.635",,92 / 372.550,66 / 330.419,,65 / 273.856,,- / -,65 / 273.856
Installation,,,,,,,,,
Subtotal: Installation,- / -,,- / -,- / -,,- / -,,- / -,- / -
Total,,,,,,,,,
Total Cost (Procurement + Support + Installation),"1,062.635",,372.550,330.419,,273.856,,-,273.856
,,,,,,,,,
