"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6005C64400 / Guided MLRS Rocket (GMLRS),,,,,,,,,,,,Item Number / Title [DODIC]: C65404 / GUIDED MLRS ROCKET (GMLRS),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2021,,,,,,,,,,,,,Fiscal Year 2022,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2020,BAL DUE AS OF 1 OCT,,,,Calendar Year 2021,,,,,,,,,,,,,Calendar Year 2022,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Tactical GMLRS Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"2,970","2,970",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,FMS (‡),60,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),336,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,Total,"3,366","3,366",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2018,ARMY,"6,528","6,528",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,FMS (‡),96,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,MC (‡),372,372,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,Total,"6,996","6,996",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2019,ARMY,"7,668","1,284","6,384",642,642,642,642,636,636,,636,636,636,636,,,,,,,,,,,,,,,0
,1,2019,FMS (‡),462,66,396,36,36,36,36,42,42,,42,42,42,42,,,,,,,,,,,,,,,0
,1,2019,MC (‡),222,42,180,18,18,18,18,18,18,,18,18,18,18,,,,,,,,,,,,,,,0
,1,2019,Total,"8,352","1,392","6,960",696,696,696,696,696,696,,696,696,696,696,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2020,ARMY,"7,878",0,"7,878",-,-,-,-,-,-,,-,-,-,-,654,654,660,654,660,654,654,660,654,660,660,654,,,0
,1,2021,ARMY,"5,796",0,"5,796",,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486,486,"4,824"
,1,2021,FMS (‡),"2,142",0,"2,142",,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180,"1,782"
,1,2021,MC (‡),330,0,330,,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,270
,1,2021,Total,"8,148",0,"8,148",,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,696,696,"6,756"
,1,2022,ARMY,"5,886",0,"5,886",,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,"5,886"
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
