"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6005C64400 / Guided MLRS Rocket (GMLRS),,,,,,,,,,,,Item Number / Title [DODIC]: C65404 / GUIDED MLRS ROCKET (GMLRS),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2023,,,,,,,,,,,,,Fiscal Year 2024,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2022,BAL DUE AS OF 1 OCT,,,,Calendar Year 2023,,,,,,,,,,,,,Calendar Year 2024,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Tactical GMLRS Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"2,970","2,970",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,FMS (‡),60,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),336,336,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,Total,"3,366","3,366",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2018,ARMY,"6,528","6,528",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,FMS (‡),96,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,MC (‡),372,372,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,Total,"6,996","6,996",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2019,ARMY,"7,668","7,668",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,FMS (‡),462,462,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,MC (‡),222,222,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,Total,"8,352","8,352",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2020,ARMY,"7,878","7,878",0,486 486 486 486 480 456 456 456 456 456 180 180 180 180 180 180 180 174 174 174 30 30 30 30 30 24 24 24 24 24,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2021,ARMY,"5,796",972,"4,824",486,486,486,486,480,456,,456,456,456,456,,,,,,,,,,,,,,,120
,1,2021,FMS (‡),"2,142",360,"1,782",180,180,180,180,180,180,,180,174,174,174,,,,,,,,,,,,,,,0
,1,2021,MC (‡),330,60,270,30,30,30,30,30,24,,24,24,24,24,,,,,,,,,,,,,,,0
,1,2021,Total,"8,148","1,392","6,756",696,696,696,696,690,660,,660,654,654,654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2022,ARMY,"5,886",0,"5,886",-,-,-,-,-,-,,-,-,-,-,"1,476",-,-,"1,470",-,-,"1,470",-,-,"1,470",,,,,0
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
