"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6060C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,,,,,,Item Number / Title [DODIC]: C65405 / MLRS Reduced Range Practice Rockets (RRPR),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2023,,,,,,,,,,,,,Fiscal Year 2024,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2022,BAL DUE AS OF 1 OCT,,,,Calendar Year 2023,,,,,,,,,,,,,Calendar Year 2024,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Reduced Range Practice Rocket (LCRRPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 42861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"1,362","1,362",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2017,Total,"2,010","2,010",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2017,ARMY,342,342,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,ARMY,"3,078","3,078",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2018,Total,"3,726","3,726",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2018,ARMY,342,342,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,ARMY,"1,542","1,542",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2019,Total,"2,190","2,190",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2019,ARMY,672,672,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,ARMY,"1,446","1,446",0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,MC (‡),648,648,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2020,Total,"2,094","2,094",0,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,2,2020,ARMY,"1,536","1,536",0,240 246 240 246 240 246 240 246 240 240 24 30 30 24 30 30 - - - - - - - - - - 228 228 222 228 222 228 222 228 222 228 222 228 - - - - - - 30 30 24 30 30 30 24 30 30 24 30 30 - - - - - - 66 66 66 66 66 66 66 66 66 66 66 66,,,,,,,,,,,,,,,,,,,,,,,,,0
,1,2021,ARMY,"2,910",486,"2,424",240,246,240,246,240,246,,240,246,240,240,,,,,,,,,,,,,,,0
,2,2021,ARMY,342,174,168,24,30,30,24,30,30,,,,,,,,,,,,,,,,,,,,0
,1,2022,ARMY,"2,706",0,"2,706",-,-,-,-,-,-,,-,-,-,-,228,228,222,228,222,228,222,228,222,228,222,228,,,0
,2,2022,ARMY,342,0,342,-,-,-,-,-,-,,30,30,24,30,30,30,24,30,30,24,30,30,,,,,,,0
,2,2022,MC (‡),792,0,792,-,-,-,-,-,-,,66,66,66,66,66,66,66,66,66,66,66,66,,,,,,,0
,2,2022,Total,"1,134",0,"1,134",-,-,-,-,-,-,,96,96,90,96,96,96,90,96,96,90,96,96,-,-,-,-,-,-,0
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
